"team_name","team_api_id.x","build_up_play","chance_creation","defence","team_api_id.y","total_goals"
"244","Southampton",8466,147,131,139,8466,216
"245","SpVgg Greuther Fürth",8357,147,131,139,8357,26
"246","Sparta Rotterdam",8614,147,131,139,8614,76
"247","Sporting CP",9768,147,131,139,9768,411
"248","Sporting Charleroi",9986,175,160,108,9986,201
"249","Sporting Lokeren",9994,147,131,139,9994,279
"250","St. Johnstone FC",8467,147,131,139,8467,308
"251","St. Mirren",9800,147,131,139,9800,257
"252","Stade Brestois 29",8521,147,131,139,8521,99
"253","Stade Rennais FC",9851,147,131,139,9851,367
"254","Stade de Reims",9837,147,131,139,9837,168
"255","Standard de Liège",9985,147,131,139,9985,341
"256","Stoke City",10194,147,131,139,10194,322
"257","Sunderland",8472,147,131,139,8472,333
"258","Swansea City",10003,147,131,139,10003,233
"259","TSG 1899 Hoffenheim",8226,147,131,139,8226,400
"260","Termalica Bruk-Bet Nieciecza",177361,147,131,139,177361,33
"261","Tondela",188163,147,131,139,188163,34
"262","Torino",9804,147,131,139,9804,241
"263","Tottenham Hotspur",8586,147,131,139,8586,481
"264","Toulouse FC",9941,147,131,139,9941,339
"265","Trofense",7992,147,131,139,7992,25
"266","Tubize",4049,147,131,139,4049,35
"267","UD Almería",9865,147,131,139,9865,202
"268","UD Las Palmas",8306,147,131,139,8306,45
"269","US Boulogne Cote D'Opale",4170,147,131,139,4170,31
"270","Udinese",8600,147,131,139,8600,415
"271","Uniao da Madeira",6367,147,131,139,6367,27
"272","União de Leiria, SAD",9771,147,131,139,9771,85
"273","VVV-Venlo",9839,147,131,139,9839,152
"274","Valencia CF",10267,147,131,139,10267,484
"275","Valenciennes FC",9873,147,131,139,9873,256
"276","VfB Stuttgart",10269,147,131,139,10269,415
"277","VfL Bochum",9911,147,131,139,9911,72
"278","VfL Wolfsburg",8721,147,131,139,8721,463
"279","Villarreal CF",10205,147,131,139,10205,364
"280","Vitesse",8277,147,131,139,8277,423
"281","Vitória Guimarães",7844,147,131,139,7844,300
"282","Vitória Setúbal",10238,147,131,139,10238,238
"283","Waasland-Beveren",8475,NA,184,153,8475,105
"284","Watford",9817,147,131,139,9817,40
"285","West Bromwich Albion",8659,147,131,139,8659,305
"286","West Ham United",8654,147,131,139,8654,326
"287","Widzew Łódź",8024,NA,120,155,8244,50
"288","Wigan Athletic",8528,147,131,139,8528,200
"289","Willem II",8525,147,131,139,8525,222
"290","Wisła Kraków",10265,147,131,139,10265,332
"291","Wolverhampton Wanderers",8602,147,131,139,8602,118
"292","Xerez Club Deportivo",9868,147,131,139,9868,38
"293","Zagłębie Lubin",8021,NA,200,162,8021,207
"294","Zawisza Bydgoszcz",8027,147,131,139,8027,75
"295","Évian Thonon Gaillard FC",4087,147,131,139,4087,180
"296","Śląsk Wrocław",8025,147,131,139,8025,318
